LAMMPS data file via write_data, version 7 Feb 2024, timestep = 50000, units = metal

19576 atoms
1 atom types

-66.74 172.52 xlo xhi
-20 201.796 ylo yhi
-5 42.996 zlo zhi

Masses

1 12.011

Atoms # atomic

65 1 -39.36 68.1735 15 0 0 0
66 1 -38.13 68.8837 15 0 0 0
68 1 -39.36 71.0141 15 0 0 0
143 1 -34.44 66.7532 15 0 0 0
144 1 -36.9 68.1735 15 0 0 0
145 1 -35.67 68.8837 15 0 0 0
146 1 -38.13 70.3039 15 0 0 0
147 1 -36.9 71.0141 15 0 0 0
227 1 -34.44 68.1735 15 0 0 0
228 1 -33.21 68.8837 15 0 0 0
229 1 -35.67 70.3039 15 0 0 0
230 1 -34.44 71.0141 15 0 0 0
316 1 -33.21 70.3039 15 0 0 0
226 1 -31.98 66.7532 15 0 0 0
313 1 -29.52 66.7532 15 0 0 0
314 1 -31.98 68.1735 15 0 0 0
315 1 -30.75 68.8837 15 0 0 0
317 1 -31.98 71.0141 15 0 0 0
404 1 -27.06 66.7532 15 0 0 0
405 1 -29.52 68.1735 15 0 0 0
406 1 -28.29 68.8837 15 0 0 0
407 1 -30.75 70.3039 15 0 0 0
408 1 -29.52 71.0141 15 0 0 0
500 1 -27.06 68.1735 15 0 0 0
501 1 -25.83 68.8837 15 0 0 0
502 1 -28.29 70.3039 15 0 0 0
503 1 -27.06 71.0141 15 0 0 0
601 1 -25.83 70.3039 15 0 0 0
499 1 -24.6 66.7532 15 0 0 0
598 1 -22.14 66.7532 15 0 0 0
599 1 -24.6 68.1735 15 0 0 0
600 1 -23.37 68.8837 15 0 0 0
602 1 -24.6 71.0141 15 0 0 0
701 1 -19.68 66.7532 15 0 0 0
702 1 -22.14 68.1735 15 0 0 0
703 1 -20.91 68.8837 15 0 0 0
704 1 -23.37 70.3039 15 0 0 0
705 1 -22.14 71.0141 15 0 0 0
809 1 -19.68 68.1735 15 0 0 0
811 1 -20.91 70.3039 15 0 0 0
812 1 -19.68 71.0141 15 0 0 0
69 1 -41.82 72.4344 15 0 0 0
70 1 -40.59 73.1445 15 0 0 0
71 1 -43.05 74.5648 15 0 0 0
72 1 -41.82 75.2749 15 0 0 0
73 1 -44.28 76.6952 15 0 0 0
74 1 -43.05 77.4054 15 0 0 0
150 1 -40.59 74.5648 15 0 0 0
152 1 -41.82 76.6952 15 0 0 0
153 1 -40.59 77.4054 15 0 0 0
148 1 -39.36 72.4344 15 0 0 0
149 1 -38.13 73.1445 15 0 0 0
151 1 -39.36 75.2749 15 0 0 0
231 1 -36.9 72.4344 15 0 0 0
232 1 -35.67 73.1445 15 0 0 0
233 1 -38.13 74.5648 15 0 0 0
234 1 -36.9 75.2749 15 0 0 0
235 1 -39.36 76.6952 15 0 0 0
236 1 -38.13 77.4054 15 0 0 0
318 1 -34.44 72.4344 15 0 0 0
319 1 -33.21 73.1445 15 0 0 0
320 1 -35.67 74.5648 15 0 0 0
321 1 -34.44 75.2749 15 0 0 0
322 1 -36.9 76.6952 15 0 0 0
323 1 -35.67 77.4054 15 0 0 0
411 1 -33.21 74.5648 15 0 0 0
413 1 -34.44 76.6952 15 0 0 0
414 1 -33.21 77.4054 15 0 0 0
409 1 -31.98 72.4344 15 0 0 0
410 1 -30.75 73.1445 15 0 0 0
412 1 -31.98 75.2749 15 0 0 0
504 1 -29.52 72.4344 15 0 0 0
505 1 -28.29 73.1445 15 0 0 0
506 1 -30.75 74.5648 15 0 0 0
507 1 -29.52 75.2749 15 0 0 0
508 1 -31.98 76.6952 15 0 0 0
509 1 -30.75 77.4054 15 0 0 0
603 1 -27.06 72.4344 15 0 0 0
